sent_id,A_commitment,B_commitment,rule_tier,rule_subject_ok,rule_verb_from_list,rule_verb,text
ABCO|2022-03-30|NotesListOfNotes|ifrs-full_DisclosureOfAccountingJudgementsAndEstimatesExplanatory|0|ar|72,1,1,1,False,False,,تم تطوير العلاقات المتوقعة بين مؤشرات الاقتصاد الكلي الرئيسية ومعدلات التخلف عن السداد لمحافظ الموجودات المالية المعنية بناءً على تحليل البيانات التاريخية على مدى السنوات الخمسة الماضية.
ABCO|2023-04-05|NotesListOfNotes|ifrs-full_DisclosureOfSummaryOfSignificantAccountingPoliciesExplanatory|0|ar|72,1,1,1,False,False,,تم تطوير العلاقات المتوقعة بين مؤشرات الاقتصاد الكلي الرئيسية ومعدلات التخلف عن السداد لمحافظ الموجودات المالية المعنية بناءً على تحليل البيانات التاريخية على مدى السنوات الخمسة الماضية.
ABCO|2025-08-14|DisclosuresDirectorsReport|jsc_DisclosureOfCompanysAccomplishmentsSupportedByQuantitativeIndicatorsAndDescriptionOfSignificantOccurrencesToCompanyDuringFiscalYear|0|ar|51,2,2,1,False,False,ركز على,وفي إطار تحقيق الاستراتيجية العامة للبنك، تركز الدائرة على تعزيز دورها في التحول الرقمي، حيث يسعى البنك إلى تطوير خدماته الرقمية لتلبية احتياجات العملاء المتزايدة، بما في ذلك الاستثمار في الذكاء الاصطناعي وتحليل البيانات لتحسين تجربة العملاء وزيادة الكفاءة والقدرة التشغيلية.
AHLI|2024-04-29|DisclosuresDirectorsReport|jsc_DescriptionOfCompanysMainActivitiesWithTheirRespectiveGeographicalLocationsSizeOfCapitalInvestmentAndNumberOfEmployees|0|ar|22,2,2,2,True,True,دمج,كما قمنا باطلاق “ahli Chat GPT” حيث دمجنا وظائف الذكاء الاصطناعي في خدمات الدردشة الخاصة بالبنك الأهلي حيث تتيح هذه التكنولوجيا للعملاء الاستفسار عن كافة الخدمات والمنتجات وأي أسئلة قد يرغب العميل بسؤالها للاجابة عليها مباشرة، كما قمنا باعتماد تقنيات جديدة تستند إلى الحلول السحابية لتبسيط العمليات وتقديم نموذج عمل مستدام خالي من الاوراق لزيادة كفاءة عملياتنا البنكية .
AHLI|2024-04-29|DisclosuresDirectorsReport|jsc_DisclosureOfCompanysContributionToEnvironmentalProtectionAndLocalCommunityService|0|ar|56,1,1,1,False,False,,الابتكار والإبداع المجتمعي : نقوم بدعم العديد من البرامج التي تشجع الابتكار والبحث العلمي وريادة الأعمال في العديد من القطاعات بالاضافة إلى التعاون مع العديد من المدارس والجامعات من خلال تقديم دورات التكنولوجيا المتقدمة والذكاء الاصطناعي بالاضافة إلى تعزيز المشاريع والأعمال الريادية المعنية بالتطوير في مختلف القطاعات عن طريق التكنولوجيا، حيث قمنا بدعم «مشروع مؤسسة أكاديمية يوريكا للتعليم التكنولوجي بمرحلته الثالثة» والذي يعنى بتدريب وتأهيل ألف طالب وطالبة من 100 مدرسة حكومة على مساقات مختلفة بالتكنولوجيا منها الذكاء الاصطناعي والبرمجة إضافة إلى أمن المعلومات.
AHLI|2025-04-30|DisclosuresChairmansStatement|jsc_DisclosureOfStatementOfBoardOfDirectorsChairman|0|ar|25,2,1,2,True,True,ركز على,أحرز البنك تقدّمًا ملموسًا في مسيرته نحو الابتكار خلال عام 2024، مستندًا إلى إستراتيجية شاملة ركّزت على الذكاء الاصطناعي والتحوّل الرقمي وبناء المشاريع.
AHLI|2025-04-30|DisclosuresChairmansStatement|jsc_DisclosureOfStatementOfBoardOfDirectorsChairman|0|ar|27,2,2,2,True,True,طور,كما طوّر البنك خطّة طموحة للذكاء الاصطناعي، تضمنت إطلاق روبوت دردشة ذكي لتحسين خدمة العملاء، إلى جانب دمج تقنيات اتخاذ القرار القائمة على الذكاء الاصطناعي في عمليات تقييم الائتمان.
AHLI|2025-04-30|DisclosuresDirectorsReport|jsc_DisclosureOfCompanysAccomplishmentsSupportedByQuantitativeIndicatorsAndDescriptionOfSignificantOccurrencesToCompanyDuringFiscalYear|0|ar|56,1,1,1,False,False,,وتمثلت أبرز الإنجازات في الآتي : تعزيز الذكاء الاصطناعي: جرى إعداد وثيقة إستراتيجية شاملة وخريطة طريق للذكاء الاصطناعي على مستوى البنك، مما وضع أساسًا قويًا لدمج الذكاء الاصطناعي بسلاسة في عمليات البنك.
AHLI|2025-04-30|DisclosuresDirectorsReport|jsc_DisclosureOfImportantProspectiveDevelopmentsIncludingAnyNewExpansionsAndProjectsCompanysProposedPlanForAtLeastOneUpcomingYearAndBoardOfDirectorsForecastsForOutcomesOfCompanyActivities|0|ar|14,1,1,1,False,False,ب+مصدر,ومن ضمن الخطط الموضوعة على أجندة العام 2025 نشر تقنيات إضافية في مجال الذكاء الاصطناعي لصالح العملاء والموظفين على حد سواء، من خلال تبسيط العمليات باستخدام الذكاء الاصطناعي، لجعل التفاعلات أكثر سلاسة والعمليات أكثر كفاءة.
AIFE|2024-03-14|DisclosuresDirectorsReport|jsc_DisclosureOfCompanysContributionToEnvironmentalProtectionAndLocalCommunityService|0|ar|5,1,1,1,False,False,,6)محاضرو بعنوان (الذكاء الاصطناعي Chat GPT الى اين ؟) بالتعاون مع كلية تكنولوجيا المعلومات.
