sent_id,symbol,pub_date,elr,concept,lang,text,label_binary,label_tech,label_commitment,label_realisation,amount_flag,stratum,n_words
AHLI|2022-04-02|DisclosuresDirectorsReport|jsc_DisclosureOfDirectorsReport|0|en|34,AHLI,2022-04-02,DisclosuresDirectorsReport,jsc_DisclosureOfDirectorsReport,en,"Jordan Ahli Bank strives on several fronts to maximize the benefits of artificial intelligence, and machine learning utilizing them in Data Science to automate tasks and workflow analysis.",,,,,FALSE,screen_positive,28
AHLI|2022-04-02|DisclosuresDirectorsReport|jsc_DisclosureOfDirectorsReport|0|en|35,AHLI,2022-04-02,DisclosuresDirectorsReport,jsc_DisclosureOfDirectorsReport,en,"So far, Jordan Ahli Bank has automated over 400 internal operations and adopted second-generation technologies such as Blockchain, Cloud Computing, Microservices, Open API to improve customer experience, enhance productivity, and align them with reducing costs and risks plans.",,,,,FALSE,screen_positive,38
ARBK|2025-04-06|DisclosuresDirectorsReport|jsc_DisclosureOfDirectorsReport|0|en|33,ARBK,2025-04-06,DisclosuresDirectorsReport,jsc_DisclosureOfDirectorsReport,en,"We continued to develop our range of services and implement the latest digital solutions, supported by artificial intelligence, to deliver comprehensive and innovative banking and financing solutions tailored to the diverse needs of our corporate, institutional, and individual clients across various sectors.",,,,,FALSE,screen_positive,42
ARBK|2025-04-06|DisclosuresDirectorsReport|jsc_DisclosureOfDirectorsReport|0|en|41,ARBK,2025-04-06,DisclosuresDirectorsReport,jsc_DisclosureOfDirectorsReport,en,"Alongside this, we will enhance operational efficiency by adopting the latest FinTech solutions and artificial intelligence technologies.",,,,,FALSE,screen_positive,17
CABK|2025-04-30|DisclosuresDirectorsReport|jsc_DisclosureOfCompanysContributionToEnvironmentalProtectionAndLocalCommunityService|0|ar|5,CABK,2025-04-30,DisclosuresDirectorsReport,jsc_DisclosureOfCompanysContributionToEnvironmentalProtectionAndLocalCommunityService,ar,ولان المرأة لها اولوية خاصة في برامج البنك واستراتيجيته فقد رعى بنك القاهرة عمان الفعالية الدولية لدعم صحة المرأة النفسية والروحية والجسدية في دورتها العاشرة، والتي أُقيمت في آيلة في مدينة العقبة حيث تم تسليط الضوء على دور المرأة العقباوية ومهاراتها ومساهمتها الفعّالة في مجتمعها المحلي من خلال عروض موسيقية والحرف التقليدية والمشغولات اليدوية المتنوعة ، وتسعى الفعالية الى دعم التكامل بين الصحة الجسدية والنفسية والروحية للمرأة، من خلال مشاركات من خبيرات وخبراء أردنيين وعرب واجانب في مجالات الصحة النفسية وجسدية واليوغا والعلاج بالفن والموسيقى والزيوت العطرية الطبية، بالإضافة إلى محاضرات حول الذكاء الاصطناعي والعلاقات الزوجية.,,,,,FALSE,screen_positive,96
DERA|2024-04-30|NotesListOfNotes|ifrs-full_DisclosureOfBasisOfConsolidationExplanatory|0|en|7,DERA,2024-04-30,NotesListOfNotes,ifrs-full_DisclosureOfBasisOfConsolidationExplanatory,en,Segment reporting Business segments represent distinguishable components of the Group that are engaged in providing products or services which are subject to risks and rewards that are different from those of other segments and are measured based on the reports sent to the chief operating decision maker.,,,,,FALSE,screen_positive,47
DERA|2024-04-30|NotesListOfNotes|ifrs-full_DisclosureOfOtherNoncurrentAssetsExplanatory|0|en|0,DERA,2024-04-30,NotesListOfNotes,ifrs-full_DisclosureOfOtherNoncurrentAssetsExplanatory,en,Segment reporting Business segments represent distinguishable components of the Group that are engaged in providing products or services which are subject to risks and rewards that are different from those of other segments and are measured based on the reports sent to the chief operating decision maker.,,,,,FALSE,screen_positive,47
INVB|2021-04-28|NotesListOfNotes|ifrs-full_DisclosureOfCreditRiskExplanatory|0|ar|4,INVB,2021-04-28,NotesListOfNotes,ifrs-full_DisclosureOfCreditRiskExplanatory,ar,- تحليل البيانات والقوائم المالية الخاصة بالعميل لإستخراج أهم النسب المالية والمؤشرات التي تساعد في اتخاذ القرارات الإئتمانية.,,,,,FALSE,screen_positive,18
JOEP|2022-04-24|NotesListOfNotes|ifrs-full_DisclosureOfIncomeTaxExplanatory|0|en|3,JOEP,2022-04-24,NotesListOfNotes,ifrs-full_DisclosureOfIncomeTaxExplanatory,en,"Gate lightning for Cloud services - Subsidiary company: The income tax provision has been calculated on the company’s business results for the year ended December 31, 2021 and 2020 in accordance with Income Tax Law No. 38 of 2018 and its subsequent amendments.",,,,,FALSE,screen_positive,43
JOPT|2022-04-21|DisclosuresDirectorsReport|jsc_DescriptionOfCompanysMainActivitiesWithTheirRespectiveGeographicalLocationsSizeOfCapitalInvestmentAndNumberOfEmployees|0|en|19,JOPT,2022-04-21,DisclosuresDirectorsReport,jsc_DescriptionOfCompanysMainActivitiesWithTheirRespectiveGeographicalLocationsSizeOfCapitalInvestmentAndNumberOfEmployees,en,"Lube oil products comply with the Jordanian specifications, the American Petroleum Institute (API- American Petroleum Institute) standards, the Society of Automobiles Engineers (SAE Society of Automotive Engineers) standards, European standards (ACEA), Original Equipment manufacturers (OEM) specifications and the American Army Military standards (Military Standard), The products are subjected to the most stringent quality control tests carried out in modern specialized laboratories.",,,,,FALSE,screen_positive,61
JOPT|2022-04-21|DisclosuresDirectorsReport|jsc_DescriptionOfSubsidiaryCompaniesNatureOfTheirBusinessAndTheirAreasOfActivity|0|en|18,JOPT,2022-04-21,DisclosuresDirectorsReport,jsc_DescriptionOfSubsidiaryCompaniesNatureOfTheirBusinessAndTheirAreasOfActivity,en,"Lube oil products comply with the Jordanian specifications, the American Petroleum Institute (API- American Petroleum Institute) standards, the Society of Automobiles Engineers (SAE Society of Automotive Engineers) standards, European standards (ACEA), Original Equipment manufacturers (OEM) specifications and the American Army Military standards (Military Standard), The products are subjected to the most stringent quality control tests carried out in modern specialized laboratories.",,,,,FALSE,screen_positive,61
JOPT|2022-04-21|DisclosuresDirectorsReport|jsc_DisclosureOfAnyGovernmentProtectionOrAnyConcessionGrantedToCompanyOrToAnyOfItsProductsPursuantToLawsRegulationsOrOtherwiseWithSpecificationOfEffectivePeriodThereofAsWellAsDescriptionOfAnyPatentsOrLicensingRightsObtainedByCompany|0|en|132,JOPT,2022-04-21,DisclosuresDirectorsReport,jsc_DisclosureOfAnyGovernmentProtectionOrAnyConcessionGrantedToCompanyOrToAnyOfItsProductsPursuantToLawsRegulationsOrOtherwiseWithSpecificationOfEffectivePeriodThereofAsWellAsDescriptionOfAnyPatentsOrLicensingRightsObtainedByCompany,en,"Lube oil products comply with the Jordanian specifications, the American Petroleum Institute (API- American Petroleum Institute) standards, the Society of Automobiles Engineers (SAE Society of Automotive Engineers) standards, European standards (ACEA), Original Equipment manufacturers (OEM) specifications and the American Army Military standards (Military Standard), The products are subjected to the most stringent quality control tests carried out in modern specialized laboratories.",,,,,FALSE,screen_positive,61
JOPT|2022-04-21|DisclosuresDirectorsReport|jsc_DisclosureOfDirectorsReport|0|en|171,JOPT,2022-04-21,DisclosuresDirectorsReport,jsc_DisclosureOfDirectorsReport,en,"Lube oil products comply with the Jordanian specifications, the American Petroleum Institute (API- American Petroleum Institute) standards, the Society of Automobiles Engineers (SAE Society of Automotive Engineers) standards, European standards (ACEA), Original Equipment manufacturers (OEM) specifications and the American Army Military standards (Military Standard), The products are subjected to the most stringent quality control tests carried out in modern specialized laboratories.",,,,,FALSE,screen_positive,61
JTEL|2022-04-27|DisclosuresDirectorsReport|jsc_DisclosureOfCompanysAccomplishmentsSupportedByQuantitativeIndicatorsAndDescriptionOfSignificantOccurrencesToCompanyDuringFiscalYear|0|en|7,JTEL,2022-04-27,DisclosuresDirectorsReport,jsc_DisclosureOfCompanysAccomplishmentsSupportedByQuantitativeIndicatorsAndDescriptionOfSignificantOccurrencesToCompanyDuringFiscalYear,en,"This new technology will accelerate digital transformation, and provide more space for IoT, smart cities, and Industrial solutions. in terms of finance although the pandemic brought long-term exceptional changes, we succeeded in increasing the group’s revenues and profit.",,,,,FALSE,screen_positive,38
JTEL|2022-04-27|NotesListOfNotes|jsc-rep_DisclosureOfCashOnHandAndAtBanks|0|ar|3,JTEL,2022-04-27,NotesListOfNotes,jsc-rep_DisclosureOfCashOnHandAndAtBanks,ar,** حصلت المجموعة على 4 منح (منحتين خلال عام 2020 و منحتين خلال العام 2021) لتوفير التمويل لتعزيز مبادرات الابتكار الخاصة بشركة الاتصالات الأردنية، بما في ذلك أكاديمية الترميز التابعة للمجموعة والبرامج الأكاديمية الأخرى.,,,,,FALSE,screen_positive,34
ZEIC|2024-02-13|DisclosuresDirectorsReport|jsc_DisclosureOfDirectorsReport|0|en|111,ZEIC,2024-02-13,DisclosuresDirectorsReport,jsc_DisclosureOfDirectorsReport,en,"Artificial Intelligence and Robotics Engineering Applied English Technical accounting Electronic business management There has been a clear development in the number of accepted students in the last two years, as the number of students in 2023 reached (929) students, while in 2022 it reached (502) students.",,,,,TRUE,screen_positive,46
ZEIC|2024-02-13|DisclosuresDirectorsReport|jsc_DisclosureOfDirectorsReport|0|ar|129,ZEIC,2024-02-13,DisclosuresDirectorsReport,jsc_DisclosureOfDirectorsReport,ar,هندسة الذكاء الاصطناعي والروبوتات اللغة الإنجليزية التطبيقية المحاسبة التقنية إدارة الأعمال الإلكترونية حيث ظهر تطور واضح في أعداء المقبولين في السنتين الأخيرتين حيث بلغ عدد أعداد الطلبة في عام 2023 (929) طالباً بينما بلغ في عام 2022 (502) طالباً.,,,,,TRUE,screen_positive,39
ZEIC|2024-02-13|DisclosuresDirectorsReport|jsc_DisclosureOfIssuingCompanysOrganizationalChartNumberOfItsEmployeesAndTheirClassesOfQualificationAndItsPersonnelQualifyingAndTrainingPrograms|0|en|1,ZEIC,2024-02-13,DisclosuresDirectorsReport,jsc_DisclosureOfIssuingCompanysOrganizationalChartNumberOfItsEmployeesAndTheirClassesOfQualificationAndItsPersonnelQualifyingAndTrainingPrograms,en,Secretariat * Consultants are from outside the company Audit and Internal Control Council's Secretariat 9- B - Organizational structure of Zarqa University Board of Trustees Consultants Internal Control Unit University President University Council President’s Office Deans’ Council Vices to the President President’s Counselors Secretariat of the Presidency and the Council Deanships Centers and Administrative Departments Dean of the Faculty of Sharea Dean of the Faculty of Arts Director of Public Relations Director of the Library Dean of the Faculty of Science Dean of the Faculty of Economics and Administrative Sciences Director of Financial Affairs Director of Development and Quality Assurance Unit Dean of the Faculty of Educational Sciences Dean of the Faculty of Law Director of Public Relations Director of Outside Projects Unit Dean of the Faculty of Medical Sciences Dean of the Faculty of Nursing Director of General Services Director of Translation Unit Dean of the Faculty of Engineering Technology Dean of the Faculty of Pharmacy Director of Medical Services and Insurance Director of Blended Learning Dean of the Faculty of Art and Design Dean of the Faculty of Mass Media Director of Supplies Director of Business Incubator Unit Dean of the Faculty of Information Technology Dean of Scientific Research Director of Islamic Cultural Center Director of Computer Center Dean of Students’ Affairs Dean of Admission and Registration Director of Continued Learning Center Director of Languages Center Dean of the Faculty of Dentistry Director of Electronic Learning Center Director of Energy Research Center 9 – C - The Organizational Structure of Zarqa Technical Intermediate College Board of Trustees Audit and Control Unit Dean of the College Secretariat of the Council Financial Department Secretariat Department of Cyber Security and Artificial Intelligence Engineering Department of Cyber Security and Artificial Intelligence Engineering Department of Digital Media and Animation Art Department of Architecture and Interior Design Department of Electric Vehicles Maintenance and Renewable Energy Technology College Council Deputy Dean Digital Media Animation Arts Technical Accounting Applied English Language Cyber Security Artificial Intelligence Engineering Electric Vehicle Maintenance Renewable energy technology 9 – D - The organizational Structure of Zarqa University Schools and Kindergarten Chairman of Administrative Board General Director Deputy of General Director Supervision Unit Secretariat Archiving Supervision and Training Quality Assurance Registration and Student’s Affairs Financial Dept.,,,,,FALSE,screen_positive,374
BOJX|2024-03-28|DisclosuresDirectorsReport|jsc_DisclosureOfDirectorsReport|0|en|14,BOJX,2024-03-28,DisclosuresDirectorsReport,jsc_DisclosureOfDirectorsReport,en,"Most importantly, the bank has taken a deep dive into data analytics by creating a division for data management, which includes specialized units for data analytics, reporting, governance, and quality control.",,,,,FALSE,screen_positive,31
INVB|2021-05-18|NotesListOfNotes|ifrs-full_DisclosureOfCreditRiskExplanatory|0|ar|4,INVB,2021-05-18,NotesListOfNotes,ifrs-full_DisclosureOfCreditRiskExplanatory,ar,- تحليل البيانات والقوائم المالية الخاصة بالعميل لإستخراج أهم النسب المالية والمؤشرات التي تساعد في اتخاذ القرارات الإئتمانية.,,,,,FALSE,screen_positive,18
JOEP|2023-04-30|NotesListOfNotes|ifrs-full_DisclosureOfIncomeTaxExplanatory|0|en|5,JOEP,2023-04-30,NotesListOfNotes,ifrs-full_DisclosureOfIncomeTaxExplanatory,en,"Gate lightning for Cloud services - Subsidiary company: The income tax provision has been calculated on the company’s business results for the year ended December 31, 2022, and 2021 in accordance with Income Tax Law No. 38 of 2018 and its subsequent amendments.",,,,,FALSE,screen_positive,43
