sent_id,lang,A,B,rule,subject_ok,verb_from_list,verb,text
CAPL|2024-04-29|DisclosuresDirectorsReport|jsc_DisclosureOfDirectorsReport|0|en|133,en,1,1,1,False,False,,"Here are some notable examples: 1. Acquiring Business Dashboard: A comprehensive performance dashboard for acquiring business that provides insights into merchant onboarding, merchant withdrawal, top merchant categories, pointof- sale transaction analyses, revenue breakdowns and behavioral analytics. 2. Mobile Banking Board KPIs: Provides updates on KPIs required by a bank's Board of Directors for mobile banking performance, including new registrations, engagement, transactions, adoption and more. 3. Branch Dashboards: Covers sales and service performance indicators related to waiting times, service times, sales numbers, customer digital migration, etc. 4. Blink Exco Dashboard: A data-focused dashboard for Blink's executive committee that provides updates on all key areas of the bank’s business including customer acquisition, sales, delays and collections, transactions, customer behavior by target personas and more."
ARBK|2024-04-28|DisclosuresDirectorsReport|jsc_DisclosureOfCompanysAccomplishmentsSupportedByQuantitativeIndicatorsAndDescriptionOfSignificantOccurrencesToCompanyDuringFiscalYear|0|en|67,en,1,1,1,False,True,use,"This involved expanding the chatbot’s knowledge base and adding new features, such as voice interactions, image display, and tutorial videos to help customers use the chatbot."
BOJX|2024-03-28|DisclosuresDirectorsReport|jsc_DisclosureOfImportantProspectiveDevelopmentsIncludingAnyNewExpansionsAndProjectsCompanysProposedPlanForAtLeastOneUpcomingYearAndBoardOfDirectorsForecastsForOutcomesOfCompanyActivities|0|en|4,en,2,1,2,True,True,utilise,Strategic Pillar Digital Transformation and Innovation: focus on utilizing cutting-edge technologies in artificial intelligence and data to improve BOJ processes and banking operations; and support data infrastructure to encourage data-driven decision making.
ARBK|2025-04-06|DisclosuresDirectorsReport|jsc_DisclosureOfCompanysAccomplishmentsSupportedByQuantitativeIndicatorsAndDescriptionOfSignificantOccurrencesToCompanyDuringFiscalYear|0|en|10,en,2,1,2,True,True,deploy,"The Group continues to enhance operational efficiency by deploying digital technologies and artificial intelligence tools within an institutional framework across all business units, while continuing to implement its digital strategy to provide digital banking services that meet the aspirations and financial needs of its customers."
ABCO|2022-03-30|DisclosuresDirectorsReport|jsc_DisclosureOfCompanysAccomplishmentsSupportedByQuantitativeIndicatorsAndDescriptionOfSignificantOccurrencesToCompanyDuringFiscalYear|0|en|22,en,2,2,1,False,True,use,"To keep pace with the rapid technological and digital development and for a better customer service, the Bank is planning to launch “ila” application, which is a digital application that will be available using smart phones only, and that will be launched in 2022 using artificial intelligence and data analysis technologies, which makes it user-friendly and helps the bank to attract and serve a wider customer base; starting with millennials, and ending with all segments of the Jordanian society."
JOPT|2025-04-30|NotesListOfNotes|jsc-rep_DisclosureOfFuturePlan|0|en|35,en,1,1,2,True,True,use,"Work is also underway to implement an energy consumption audit system using artificial intelligence, which monitors load behavior and generation sources."
AHLI|2021-05-09|DisclosuresChairmansStatement|jsc_DisclosureOfStatementOfBoardOfDirectorsChairman|0|en|18,en,2,1,2,True,True,develop,"Ahli Bank was able to provide this service by being the first bank to join the artificial intelligence and blockchain-based eKYC-as-a-service platform “Anameen”, a capability incubated and developed by Ahli Fintech’s accelerator and developed by Jordanian talents and minds in partnership with Microsoft and Oracle."
NDAR|2025-04-28|DisclosuresDirectorsReport|jsc_DisclosureOfCompanysAccomplishmentsSupportedByQuantitativeIndicatorsAndDescriptionOfSignificantOccurrencesToCompanyDuringFiscalYear|0|en|2,en,1,1,1,False,False,,Completion of the Computer System Validation requirements for Oracle EBS 12.2.
JOEP|2025-04-30|NotesListOfNotes|ifrs-full_DisclosureOfBasisOfConsolidationExplanatory|0|en|9,en,1,1,1,True,False,use,"Amman- Jordan Al-Baraq for Energy Services 500,000 500,000 100% Electrical Services Amman- Jordan The following table shows the financial position and financial performance of the subsidiaries as of 31 December 2024, and of 31 December 2023: In Jordanian Dinar As of 31 December 2024, For the Year Ended December 31, 2024 Total Assets Total Liabilities Total Revenues Proft (loss) for the year Lightning Gate for Cloud Services 606,223 322,773 187,475 8,810 Al-Baraq for Energy Services 607,347 115,035 128,598 (7,688) In Jordanian Dinar As of 31 December 2023, For the Year Ended December 31, 2023 Total Assets Total Liabilities Total Revenues loss for the year Lightning Gate for Cloud Services 707,967 434,074 75,710 (25,720) The Group recognizes combining of the business using the consolidation method when control is transferred to the Group and the transferred benefits from the merger are measured at fair value and are determined by the net asset value."
ARBK|2024-04-28|NotesListOfNotes|ifrs-full_DisclosureOfEntitysReportableSegmentsExplanatory|0|en|25,en,1,1,1,False,False,,"In addition to the above, the bank is working on pillars according to which it leads its digital and innovation strategies, the most important of which are artificial intelligence and proactive analysis."
